q1	q2	q3	q4	q5	q6	q7
-0.2985	-0.2849	0.0172	-2.3269	-0.2611	2.6603	-1.5929
-0.4766	-0.2943	0.004	-2.2523	-0.2573	2.1917	-1.9685
-0.3695	-0.2588	0.0432	-2.2989	0.7125	2.3416	-1.7812
-0.3401	0.0378	0.096	-2.3152	-0.0705	3.4798	-1.2458
-0.3669	-0.0305	0.0966	-1.8809	0.648	2.0442	-2.1308
-0.575	-0.1265	0.2313	-2.0089	0.0279	2.3756	-1.9739
-0.5671	-0.1242	0.2436	-2.0273	0.0531	2.3538	-1.0481
-0.4774	-0.0483	0.2662	-2.3391	-0.0315	3.1988	-1.0681
-0.2495	0.213	-0.017	-1.4993	0.4303	1.7312	-1.6571
-0.2563	0.2176	-0.0092	-1.5153	-0.151	2.2509	-1.7145
